,model,MKT,SMB,HML,RMW,CMA
2000-01-31,RW-ADCC-SKT,0.27658269856421314,0.7234173001936678,8.453485733416351e-10,3.9677054539250337e-10,0.0
2000-02-29,RW-ADCC-SKT,3.537131698649887e-11,0.3987967658816284,3.149375205069305e-11,3.946298843260365e-11,0.6012032340120437
2000-03-31,RW-ADCC-SKT,0.21997061549633645,0.5081714262427095,1.1729879953002886e-13,0.013651146931004417,0.25820681132983236
2000-04-30,RW-ADCC-SKT,0.4747217337189353,0.0,0.44914133131614453,0.07613693496491909,1.0823641903993006e-15
2000-05-31,RW-ADCC-SKT,0.0,5.302089439675218e-12,2.2107256159515433e-11,0.053464766380502404,0.9465352335920882
2000-06-30,RW-ADCC-SKT,3.476780347215584e-17,0.06097297971482978,0.3699957303870549,0.5690312898981149,2.253842393467677e-16
2000-07-31,RW-ADCC-SKT,0.48773166923321476,0.5122683306389793,3.763819125806735e-11,8.881305091153785e-11,1.3546421034177867e-12
2000-08-31,RW-ADCC-SKT,0.1387365763177178,0.2192770539196784,0.2083254115018657,0.2160229734057098,0.2176379848550284
2000-09-30,RW-ADCC-SKT,0.35631079284380685,0.03426911748886465,3.207527780413655e-13,9.76878441299047e-13,0.6094200896660309
2000-10-31,RW-ADCC-SKT,0.002996675231775746,0.2306368486403021,8.486310448695622e-12,0.12446266535821406,0.6419038107612217
2000-11-30,RW-ADCC-SKT,0.15974412701609783,1.636896286206404e-15,2.1489560178158726e-15,0.2277835440135528,0.6124723289703456
2000-12-31,RW-ADCC-SKT,0.0,0.9999999998780893,6.923320021912542e-18,5.104842098640446e-18,1.2191066918289246e-10
2001-01-31,RW-ADCC-SKT,0.2234805815804341,0.3544217895138418,0.18553646282218045,0.0862993756442753,0.1502617904392685
2001-02-28,RW-ADCC-SKT,0.14195694989779858,0.858043050102189,2.2247704613784524e-16,1.1454784066140954e-14,5.962117470786185e-16
2001-04-30,RW-ADCC-SKT,1.1463296186528204e-12,0.5760109923237404,0.15312119343428823,0.23461200327906898,0.036255810961756
2001-05-31,RW-ADCC-SKT,0.8051925620621366,3.0851809066891785e-19,5.860770685374185e-18,1.0553272977452223e-16,0.1948074379378633
2001-06-30,RW-ADCC-SKT,0.24221122947507573,0.32357905465279735,0.1835654945818464,0.15544695902512204,0.09519726226515844
2001-07-31,RW-ADCC-SKT,0.08307164678154279,0.38713173535624035,1.5745450931734427e-13,0.5297966178618749,1.8460322083383642e-13
2001-08-31,RW-ADCC-SKT,0.2178834224146183,0.0,0.22125400943252646,0.5608625681528551,3.124900331559146e-16
2001-09-30,RW-ADCC-SKT,0.015512573685770826,0.3324557719439245,2.0685141607304444e-15,0.12513395192674096,0.5268977024435618
2001-10-31,RW-ADCC-SKT,2.0945024987998013e-15,5.1230318528498645e-15,8.580185622268161e-16,0.7927257852812399,0.2072742147187521
2001-11-30,RW-ADCC-SKT,0.21333721831874788,0.7866627816811333,7.457841225684258e-15,7.243082661476153e-14,3.893939069127708e-14
2001-12-31,RW-ADCC-SKT,0.4041837106755235,0.10524730466432594,0.4905689846595965,5.534622639597899e-13,3.6299098604941247e-16
2002-01-31,RW-ADCC-SKT,0.1513182355076073,0.38168237690226847,0.1507490076055261,0.31625037998459793,1.7572717720376046e-16
2002-02-28,RW-ADCC-SKT,0.17335129023382637,0.24954186339321882,0.027312449353099105,0.4357610985465723,0.11403329847328346
2002-03-31,RW-ADCC-SKT,0.25519380135681596,0.0909786270924828,3.395767203123409e-14,0.17202743381837474,0.4818001377322925
2002-04-30,RW-ADCC-SKT,0.29911782659200503,0.25131631425627066,0.1521081993135821,1.1068966035165724e-13,0.2974576598380314
2002-06-30,RW-ADCC-SKT,0.2250602148658715,2.816912459981254e-17,9.202390635704228e-16,0.35288053328116603,0.4220592518529615
2002-07-31,RW-ADCC-SKT,7.80158597036362e-11,0.4264402059127057,4.822799365518023e-12,0.5735597939698082,3.4647327613144417e-11
2002-08-31,RW-ADCC-SKT,0.0,0.0,0.0,1.0,0.0
2002-09-30,RW-ADCC-SKT,0.23605564556512082,2.4957855018244462e-15,0.6428376396599358,0.12110671477493944,1.5943626182384117e-15
2002-10-31,RW-ADCC-SKT,9.912645183274512e-11,0.422417770017397,3.4108366445569005e-10,0.5775822294728812,6.951164851037598e-11
2002-11-30,RW-ADCC-SKT,0.4014332444885564,8.013430501306728e-14,7.810292631074604e-14,2.562334678928132e-13,0.5985667555110291
2002-12-31,RW-ADCC-SKT,0.4014332444885564,8.013430501306728e-14,7.810292631074604e-14,2.562334678928132e-13,0.5985667555110291
2003-01-31,RW-ADCC-SKT,8.11041675999943e-17,0.31581556104052594,0.3243555367882949,0.35982890217117913,1.6657262006066521e-18
2003-02-28,RW-ADCC-SKT,2.2182165438726365e-16,0.47350174740804923,1.0715163139891463e-17,0.0,0.5264982525919505
2003-03-31,RW-ADCC-SKT,0.0,0.0,0.0,0.9999999999999998,3.1474502040122722e-16
2003-04-30,RW-ADCC-SKT,0.20785856958411938,0.2260924346764593,2.1184543258437598e-13,0.5660489957377753,1.4342862378753154e-12
2003-07-31,RW-ADCC-SKT,0.25042202778324985,0.2884260077358986,1.0900166462426181e-17,0.4611519644808516,0.0
