,model,portfolio_return,portfolio_cvar
2000-01-31,RW-ADCC-SKT,0.016401307484847694,0.01727376401237474
2000-02-29,RW-ADCC-SKT,0.060725959863524304,8.898904553195418e-05
2000-03-31,RW-ADCC-SKT,-0.07626713635912802,0.013675123038931399
2000-04-30,RW-ADCC-SKT,0.0028381022059248387,0.010706523841023226
2000-05-31,RW-ADCC-SKT,0.01593541514807359,0.0030357349219614278
2000-06-30,RW-ADCC-SKT,-0.07459548780970884,0.04694620537757485
2000-07-31,RW-ADCC-SKT,-0.017086356637201427,0.056064973431660045
2000-08-31,RW-ADCC-SKT,0.0003628054668340687,0.013506735997222031
2000-09-30,RW-ADCC-SKT,0.013021767366867278,0.003379819583486988
2000-10-31,RW-ADCC-SKT,0.028611463303073827,0.0028778397988645705
2000-11-30,RW-ADCC-SKT,0.058980060375897495,0.016487362386756525
2000-12-31,RW-ADCC-SKT,0.03207989346523959,0.06807617295625909
2001-01-31,RW-ADCC-SKT,0.0029525362918283934,1.1547649546965991e-05
2001-02-28,RW-ADCC-SKT,0.009275089560924864,0.03638624996201753
2001-04-30,RW-ADCC-SKT,-0.021123542020999937,0.020707609406622317
2001-05-31,RW-ADCC-SKT,0.009218959167557512,0.05305256038903233
2001-06-30,RW-ADCC-SKT,0.014699731895460427,0.006627414615987132
2001-07-31,RW-ADCC-SKT,0.024257353920757927,0.006352412228523888
2001-08-31,RW-ADCC-SKT,0.012800138822701913,0.020721785819855492
2001-09-30,RW-ADCC-SKT,0.0023463987942310225,0.010172563077579756
2001-10-31,RW-ADCC-SKT,-0.033222453618121386,0.04277941997722904
2001-11-30,RW-ADCC-SKT,0.01265112057428499,0.044102355012146426
2001-12-31,RW-ADCC-SKT,0.015755681552192785,0.00782956571527496
2002-01-31,RW-ADCC-SKT,0.022344768008317153,0.0100439938577637
2002-02-28,RW-ADCC-SKT,0.0350134298991145,0.007499596266788363
2002-03-31,RW-ADCC-SKT,0.014288654215398346,0.00890954221258582
2002-04-30,RW-ADCC-SKT,0.02161180182373955,0.005112512551270687
2002-06-30,RW-ADCC-SKT,0.007758665617343962,0.026520218753365778
2002-07-31,RW-ADCC-SKT,-0.006273526236782422,0.013865858714682287
2002-08-31,RW-ADCC-SKT,0.0136070034062169,0.040403777704755325
2002-09-30,RW-ADCC-SKT,-0.013794978195495156,0.017634330536718524
2002-10-31,RW-ADCC-SKT,-0.03706811737191791,0.01148904853657951
2002-11-30,RW-ADCC-SKT,0.05335514176960589,0.010596645256868409
2002-12-31,RW-ADCC-SKT,-0.03462661255559682,-0.0045646825572994145
2003-01-31,RW-ADCC-SKT,-0.003700282795027705,0.033966039049649205
2003-02-28,RW-ADCC-SKT,-0.00772990571594149,0.037668933844359424
2003-03-31,RW-ADCC-SKT,0.016660440893107094,0.04547075903763472
2003-04-30,RW-ADCC-SKT,-0.008225003018967034,0.012290515350503283
2003-07-31,RW-ADCC-SKT,-0.00010967031759284273,0.01868487204104069
2003-08-31,RW-ADCC-SKT,0.02223556374099382,0.01520632143021597
2003-09-30,RW-ADCC-SKT,0.00048715723191084426,0.004224701172372854
2003-10-31,RW-ADCC-SKT,0.003322503412757213,0.028071719986082322
2003-11-30,RW-ADCC-SKT,0.017368820748966177,4.949727295117665e-07
2003-12-31,RW-ADCC-SKT,0.0063412937249889695,0.00875220904707459
2004-01-31,RW-ADCC-SKT,0.006338003374717472,0.010335223726033396
2004-02-29,RW-ADCC-SKT,-0.003400159710064368,0.0019449487104944284
2004-03-31,RW-ADCC-SKT,0.005486738560025961,0.012554825126742346
2004-04-30,RW-ADCC-SKT,0.00048732657199728087,0.010511235105117487
2004-05-31,RW-ADCC-SKT,-0.011768983599998785,0.0521588331545439
2004-06-30,RW-ADCC-SKT,0.017278149727494026,0.05123525819609142
2004-07-31,RW-ADCC-SKT,-0.00333499065587373,0.0002755119139185946
2004-09-30,RW-ADCC-SKT,-0.00027837207490878993,0.01192758094426373
