,model,portfolio_return,portfolio_cvar
2000-01-31,RW-DCC-SKT,0.013673975184527652,0.01936274505934446
2000-02-29,RW-DCC-SKT,0.04892285765647602,3.602734684768925e-05
2000-03-31,RW-DCC-SKT,-0.07977524765169533,0.01804724464103753
2000-04-30,RW-DCC-SKT,0.0008718684401376265,0.009304307697764035
2000-05-31,RW-DCC-SKT,0.015484143400478418,0.003275347692363636
2000-06-30,RW-DCC-SKT,-0.07264735315725455,0.04848400355257892
2000-07-31,RW-DCC-SKT,-0.01625062119290352,0.05700642599305919
2000-08-31,RW-DCC-SKT,-1.9566827242611592e-05,0.013267930963848413
2000-09-30,RW-DCC-SKT,0.014130317771629366,0.0038764327493965977
2000-10-31,RW-DCC-SKT,0.02880523302542524,0.0019923083438751718
2000-11-30,RW-DCC-SKT,0.05959553546426613,0.018586203472851608
2001-02-28,RW-DCC-SKT,0.008093005190799793,0.03516959050643548
2001-04-30,RW-DCC-SKT,-0.021687851210005025,0.021760215295148946
2001-05-31,RW-DCC-SKT,0.010023488184764711,0.04513613506729211
2001-06-30,RW-DCC-SKT,0.016282792025503798,0.00762975101461343
2001-07-31,RW-DCC-SKT,0.0244971441181033,0.00849472814878737
2001-08-31,RW-DCC-SKT,0.0178024915253661,0.021094553242252023
2001-09-30,RW-DCC-SKT,0.002464630383811048,0.007589947304244389
2001-10-31,RW-DCC-SKT,-0.03373687393488577,0.04354550217908907
2001-11-30,RW-DCC-SKT,0.008954854882709957,0.043014912528013545
2001-12-31,RW-DCC-SKT,0.016211117367127725,0.009196286914840372
2002-01-31,RW-DCC-SKT,0.021646083868463672,0.009697309835440444
2002-02-28,RW-DCC-SKT,0.03744395710726815,0.007641918906947746
2002-03-31,RW-DCC-SKT,0.01486866376729211,0.008849198103197837
2002-04-30,RW-DCC-SKT,0.023609537612942277,0.0049923816652645185
2002-05-31,RW-DCC-SKT,0.0007370177046956659,0.0018477983681335101
2002-06-30,RW-DCC-SKT,0.009831683352505057,0.030396471915010784
2002-07-31,RW-DCC-SKT,-0.007959888161444708,0.014750343249822686
2002-08-31,RW-DCC-SKT,0.0136070034062169,0.04303422292731975
2002-09-30,RW-DCC-SKT,-0.010128233561648091,0.023269854829562935
2002-10-31,RW-DCC-SKT,-0.03679634651799264,0.014620262194154148
2002-11-30,RW-DCC-SKT,0.053494407928431284,0.01524227111639296
2002-12-31,RW-DCC-SKT,-0.035384870755053414,-0.0029670341801152507
2003-01-31,RW-DCC-SKT,-0.0038508959221890604,0.03556183230924641
2003-02-28,RW-DCC-SKT,-0.00783015239195549,0.03671542610594476
2003-03-31,RW-DCC-SKT,0.0166604408931071,0.047811397853321586
2003-04-30,RW-DCC-SKT,-0.009599372928343952,0.013486390656345958
2003-07-31,RW-DCC-SKT,0.0008298912608697938,0.01966580126929102
2003-08-31,RW-DCC-SKT,0.022354361531662627,0.013940148233081187
2003-09-30,RW-DCC-SKT,0.0004811197945140995,0.003353596885794488
2003-10-31,RW-DCC-SKT,0.0035766858767777784,0.0291657227616093
2003-12-31,RW-DCC-SKT,0.00657493263303939,0.008387037872336236
2004-01-31,RW-DCC-SKT,0.005104497249493613,0.011505236395518868
2004-02-29,RW-DCC-SKT,-0.003977508623843185,0.0014867760208409349
2004-03-31,RW-DCC-SKT,0.005519311203537753,0.01395942648861195
2004-04-30,RW-DCC-SKT,0.0003911119660656966,0.011484810074356963
2004-05-31,RW-DCC-SKT,-0.0117689835999988,0.05307531056202161
2004-06-30,RW-DCC-SKT,0.01706480731445048,0.050970950077390026
2004-07-31,RW-DCC-SKT,-0.0023972650933744514,0.0003763605152841919
2004-09-30,RW-DCC-SKT,-0.00042429651267841643,0.01220321506890265
2004-10-31,RW-DCC-SKT,0.0017219815994321311,0.002604261146949125
2004-11-30,RW-DCC-SKT,0.01430268969613521,0.01328453857644564
2004-12-31,RW-DCC-SKT,0.004792702437432159,-0.005137746642582294
2005-01-31,RW-DCC-SKT,-0.012012582764755295,0.00677346657060671
2005-02-28,RW-DCC-SKT,0.013613578261712864,0.008928032226847637
2005-03-31,RW-DCC-SKT,-0.0014287224518546684,0.0013666910619104084
2005-04-30,RW-DCC-SKT,-0.004519938813633033,0.004566299433851542
2005-05-31,RW-DCC-SKT,-0.01025237646435129,0.031936531152812406
2005-06-30,RW-DCC-SKT,0.01140205667169105,0.011694676566990738
2005-08-31,RW-DCC-SKT,-0.013102334085231097,0.00798505589783289
2005-09-30,RW-DCC-SKT,0.006751826565418946,0.015622130803132992
