Factor,Statistic,RW,Best,SVR,SC-SVR,DMA
MKT,s-SPA,0.0,1.0,0.0554,0.0553,0.0971
MKT,MCS,0.0,1.0,1.0,1.0,1.0
SMB,s-SPA,0.0,1.0,0.1164,0.1156,0.0
SMB,MCS,0.0,1.0,0.0003,0.0001,0.0008
HML,s-SPA,0.0003,1.0,0.2016,0.2064,0.0172
HML,MCS,0.0009,1.0,1.0,1.0,1.0
RMW,s-SPA,0.0012,0.9992,0.2818,0.2783,0.5757
RMW,MCS,0.0018,1.0,1.0,1.0,1.0
CMA,s-SPA,0.0002,0.9999,0.4311,0.4444,0.3742
CMA,MCS,0.0003,1.0,1.0,1.0,1.0
