date,MKT,SMB,HML,RMW,CMA
2000-01-31,0.009054018591721651,0.004429868098293631,-0.006102988364789971,-0.016092326293255816,0.00021730941395403642
2000-02-29,0.01525329258899046,8.177450439439223e-05,-0.014368308033198435,-0.042015713169745894,-0.0015388030631971641
2000-03-31,0.028625535947771882,0.014431135360983904,-0.02055527617034212,-0.11258834798887006,0.006490450058258689
2000-04-30,0.017669078093617934,-0.03317670996074843,-0.0064403485642594155,-0.010573445187237338,0.002079595329554983
2000-05-31,0.011035769785596627,-0.02044047898323306,0.018216933902450737,0.029108518169598335,0.003070793599933697
2000-06-30,0.010635156618844416,0.0103101154403937,0.017236477791139536,0.11258834798887006,0.0013498242796036843
2000-07-31,0.00808965032354683,0.026284547246414013,-0.015343132374117318,-0.0022360279185603535,-0.0007306138567395559
2000-08-31,0.00932271661871248,0.006660787240084407,0.0011049017431882017,2.340280001294145e-11,0.0025143197881351423
2000-09-30,0.015167895810435632,-0.03022407116087014,0.002313972837193306,-8.82352218842406e-20,0.0036592197945181613
2000-10-31,0.018311027852652123,0.012447561379757267,0.040355354012768754,-1.758025551790688e-29,0.004909512307871021
2000-11-30,0.026237376029495857,-0.009532794859418384,0.03997196553593113,1.913742660883384e-40,0.0042686387039776764
2000-12-31,-0.009391887061842654,0.014732094549709408,0.051296478833608466,1.017658990024921e-43,0.016969434450229123
2001-01-31,0.0028272906178588167,0.0014288659196879574,0.05929830675847694,3.093217886475515e-45,0.011578471247773479
2001-02-28,0.021614511995135297,0.010963985457078392,-0.0009596697843822943,-1.5872749790360284e-53,0.0032273908407045547
2001-03-31,0.007902360534232968,0.0013576951881295737,0.05959694477172304,9.957093735843475e-62,0.018302856407264242
2001-04-30,0.010052967978660456,0.014824009172570107,0.0538557498932386,1.1110368312071931e-66,0.018819551536762534
2001-05-31,0.006891975468296561,0.0025588231458373192,0.018339918274869183,-7.768502232367517e-76,0.0003330222742936994
2001-06-30,-0.0014703487228183991,0.017562371520695785,0.019714549897142157,-5.522711708768462e-85,-0.0011466473014497434
2001-07-31,0.0002807121928095587,0.02021099773046182,-0.01277287173848378,1.5707296638387887e-94,-6.738915477526673e-05
2001-08-31,-0.0055327500626459625,-0.018284214770286692,0.03627390717016869,6.701044522097423e-104,0.005975940448009273
2001-09-30,0.00586035930654729,0.0006038768163335015,0.041547842342600054,1.093187444904587e-110,0.022383443243059086
2001-10-31,-0.010096798559503083,-0.016704812548496997,0.01516382493237766,1.9926923967635897e-118,0.013884305191975279
2001-11-30,-0.01120260914935304,0.021829998082063883,-0.03613654428018176,3.405179924134263e-126,-0.009446919051060486
2001-12-31,0.006441047493847491,0.017427194816984373,-0.0011299677894570461,-1.7772013824727158e-135,-0.01845195411763683
2002-01-31,0.01895962851338382,0.0037655793307165356,-0.008937497897845027,9.961973051258097e-144,-0.008223667744164156
2002-02-28,-0.017426196028407396,0.002788074119407004,0.04127448924031638,4.59700485082147e-152,0.0075506686605026335
2002-03-31,-0.005831581659412659,-0.02286382863267039,0.02235236263770429,1.4541450808100446e-159,0.014240725846816822
2002-04-30,0.008984488711734817,0.0284739517413653,-0.0022174579933729593,7.854793798081142e-165,0.0028609083012623346
2002-05-31,-0.00021602971888434584,0.03169348728223672,0.023899221454395398,6.525828873572504e-173,0.02263703148779127
2002-06-30,-0.0014034755182160252,-0.004401049149313826,-0.005717666908290001,1.5676655894142015e-180,0.02148927849451304
2002-07-31,-0.008128307364775588,0.004365981845971636,0.02179919582736771,4.2622045464186626e-189,0.012564072158368363
2002-08-31,-0.01913424132837384,-0.02921864237740521,-0.016473621311051755,2.595522156435316e-196,0.006000483954956877
2002-09-30,-0.02576636916889612,-0.019654468685681416,0.009664317926784283,1.0469708208947772e-203,-0.006373503285139936
2002-10-31,-0.030709789571549836,0.0297589660471847,0.007665401941193985,9.165734520662962e-213,-0.019665771377736854
2002-11-30,0.00040888525279701493,-0.0254960954190549,-0.01362509517153808,-5.398301146140148e-221,-0.005330821949508848
2002-12-31,-0.004764829448990005,0.012277970649581731,-0.01727960251287209,1.0926538395414893e-227,0.017091571001791848
2003-01-31,-0.020216101117819938,-0.0034145924607512325,0.0037772636847570973,3.9117165642208904e-229,-0.009071198411233307
2003-02-28,-0.011089608553977203,-0.00643665300455943,0.0023168795836646505,-2.1337043397529898e-235,0.003923803936111964
2003-03-31,-0.00367404440537276,-0.004799831166794124,-0.015741739755683725,3.0257770866783927e-243,0.00548325127599489
2003-04-30,-0.019035248635001556,-0.003944050083787804,-0.00560076149823708,1.0041513582857556e-250,-0.007539965880290134
2003-05-31,0.008891701624917741,0.010054250488256719,-0.019678641904719334,6.729541614030859e-259,-0.0020672850884398465
2003-06-30,0.031748320478468206,0.023062137912017222,0.02017269128778206,-8.601297257319987e-265,0.006930655338124684
2003-07-31,0.017100056400072974,0.013628672829459003,0.003293605104871495,-8.829685846300176e-270,-0.004104013561735514
2003-08-31,0.026604434998048893,0.011318679903981355,-0.017750600439752684,1.5066765320450634e-277,0.0014080141694325385
2003-09-30,0.014687709087197954,0.010739397719861342,0.004855256513249411,-6.207309315341705e-284,0.01755370861665973
2003-10-31,0.008507254406799825,-0.004821634897030449,-5.21867175556209e-05,-9.440466752808472e-291,-2.4018221233147442e-05
2003-11-30,0.035830634347510534,0.02178701301875807,0.020748390322622663,8.851814825502107e-297,0.005377121844650316
2003-12-31,0.006333746656308573,0.016498453320089247,0.00712819265490299,-5.407993738959137e-297,0.008707996313307712
2004-01-31,0.03972530056213411,-0.005638359382678032,0.006546481259817089,-1.816467570040875e-296,-0.0013904168248527404
2004-02-29,0.019482538718941435,0.007610044106801625,0.010596671783685965,-1.0683406368283939e-296,0.01581055234011882
2004-03-31,0.005167706304548098,-0.0026171179667426386,0.015696369165619582,-1.4855583304762044e-298,-0.0008750187397283705
2004-04-30,0.01807811756677544,-0.0029119039145834398,-0.0007588935776360908,-1.6205375924377864e-296,-0.0024746362402243167
2004-05-31,0.01587623331880105,-0.0026156111812341864,-0.010611834885147893,-3.80690345812711e-297,-0.01657865015621484
2004-06-30,0.006569426767118924,-0.01061488789280549,-0.008273034676572612,2.27524514572141e-298,0.0042488446588397795
2004-07-31,0.010930578239839336,0.024187358480984626,-0.005250745802924831,-5.823593999381849e-297,-0.016624079648063828
2004-08-31,-0.008277394686353731,-0.02148215259380528,0.03196827035583652,-8.561831260636445e-297,-0.008654770804568064
2004-09-30,-0.0024028884334125742,-0.011331006557433146,0.007373732756294651,8.599612719577432e-297,-0.016306195606572555
2004-10-31,-0.00557465939846051,0.004521439464101908,0.006791688280869469,3.103640637296165e-297,-0.01589569651294495
2004-11-30,0.00949183071087865,-0.001103979271839961,-0.00946315375110461,-1.43751409069621e-296,0.0019649550522498117
2004-12-31,0.019431855623576348,0.018223775561167083,0.002004362264435117,-5.203500506708099e-297,-0.0042600276419759095
2005-01-31,0.012036462656975451,0.009497167110851615,0.0054132520592971075,5.5729727123433434e-297,-0.0014056795237597042
2005-02-28,-0.013151366716194712,-0.01536598982064602,0.01400472905684676,-4.987342448456926e-297,-0.01142446723919185
2005-03-31,0.006486405257403273,0.00026681375520050334,0.012978887265278691,-7.8130525793107e-297,0.0005087719365735879
2005-04-30,-0.0011310637830046918,-0.014008792960732978,0.01102915911922077,9.61039197410023e-297,-0.0005435600779790462
2005-05-31,0.007815088446238851,-0.012095863606982851,0.0025665417158627045,1.1559389533826883e-297,-0.007995722801663137
2005-06-30,0.017986828949138563,0.008374926930920172,-0.01257116854939258,-1.7538035148769344e-296,-0.0018170331716557343
2005-07-31,0.007940712905688405,0.0238578973850396,0.019766948521720885,1.7779626267112446e-297,-0.01881874290883159
2005-08-31,-0.0031867082034901877,0.005086755821752605,-0.003059642318924701,3.383305605818311e-297,0.00012815822450286472
2005-09-30,-0.015355936450183866,-0.0027240564212577217,0.013645013250867434,-1.739381604931645e-296,-0.005452801111916231
2005-10-31,0.01292273047174626,-0.01172398458635747,0.0028390049558404042,-7.292925899647015e-297,0.003997984424258713
2005-11-30,0.00842138510346407,-0.001387970330133607,-0.008016394414691505,1.225097727201548e-296,-0.012614205176814459
2005-12-31,0.019227644036750088,0.0016256307346485892,0.002113032674797699,-1.0712537361922566e-297,-0.009727675534362549
2006-01-31,0.0020446569141255627,0.009387233930307572,-0.006566193862447561,-1.0073541534466076e-296,-0.008249643642975322
2006-02-28,0.007935668757471185,0.022480626141536494,0.005560750307592548,8.362083759560829e-297,-0.007364577528908603
2006-03-31,-0.004087232764612297,0.00548938925720006,-0.001946497551431879,4.900083116975005e-297,0.01098046504722746
2006-04-30,0.005454932682868572,0.0011422940209308565,0.0024045947434369855,-9.937293430773835e-297,-0.00013362391951317549
2006-05-31,0.020711101724590668,0.004155224497296671,0.006853890010783344,-2.0251649376193158e-297,0.0024118719135080794
2006-06-30,0.019122821177436827,-0.023393705180216932,0.01612169409062278,7.461354686863156e-297,-0.0031644755410323317
2006-07-31,-0.0035004739227306302,0.011808725714032423,0.006270595248297763,-3.620402772970223e-297,-0.0018279545271281052
2006-08-31,-0.012712495146398956,-0.02268360250678165,0.012131774951389805,-8.283439175157173e-297,0.0003355177118313852
2006-09-30,-0.004601308818348618,0.0046656552182501865,-0.006662636635744521,-3.38565943002262e-297,0.004491284543391329
