date,portfolio_return
2000-01-31,-0.007493402901108261
2000-02-29,-0.026133326861918566
2000-03-31,0.012320445681208061
2000-04-30,0.0161230982892169
2000-05-31,0.0029829271039048403
2000-06-30,-0.012438649939502321
2000-07-31,0.025589559032530858
2000-08-31,0.0051096567568659
2000-09-30,0.019444325906591522
2000-10-31,0.02550286628158746
2000-11-30,0.04033019342027057
2000-12-31,0.036537779857289704
2001-01-31,-0.015153100472474522
2001-02-28,0.04230591177901852
2001-03-31,0.015968479100353723
2001-04-30,-0.008936218573701003
2001-05-31,0.019422166811345103
2001-06-30,0.006244711412038379
2001-07-31,0.01934390243403416
2001-08-31,0.01755804021473484
2001-09-30,-0.011790443072927502
2001-10-31,-0.014844236200359823
2001-11-30,0.007598965327222781
2001-12-31,0.014773489457686861
2002-01-31,0.021192928846969522
2002-02-28,0.024648022336593002
2002-03-31,0.016207724831150242
2002-04-30,0.029400203987199662
2002-05-31,0.0036067358798258804
2002-06-30,0.00605204181062436
2002-07-31,-0.03199037418941404
2002-08-31,0.004253775922850219
2002-09-30,-0.011475188672027702
2002-10-31,-0.00630612457555474
2002-11-30,0.005690176563014102
2002-12-31,0.00205220546472
2003-01-31,-0.0058719364537760214
2003-02-28,-0.00807292532850418
2003-03-31,0.0011426400860520404
2003-04-30,0.012781953520380817
2003-05-31,0.01414425604800568
2003-06-30,0.006449365256501441
2003-07-31,0.005216551221556321
2003-08-31,0.012165808752346581
2003-09-30,0.0015313350291235803
2003-10-31,0.021862405073207785
2003-11-30,0.014411782870751122
2003-12-31,0.0091439882973588
2004-01-31,0.01311596554227962
2004-02-29,0.004684564914946301
2004-03-31,0.0032813920665105798
2004-04-30,-0.013341847943362241
2004-05-31,-0.0011495418136267806
2004-06-30,0.012675432129168322
2004-07-31,-0.0010671320624011005
2004-08-31,-0.0003785938349539406
2004-09-30,0.00294078247829622
2004-10-31,0.0023546275423774804
2004-11-30,0.018648132131720042
2004-12-31,0.0047927024374321585
2005-01-31,-0.0010483521832323395
2005-02-28,0.00812678115843856
2005-03-31,0.0009002005606554002
2005-04-30,-0.013047343526061782
2005-05-31,0.009960492932674741
2005-06-30,0.01378542225557546
2005-07-31,0.0076089285232494395
2005-08-31,-0.004841571018415921
2005-09-30,0.0011862767763535403
2005-10-31,-0.010227695678271
2005-11-30,0.0027121646606397404
2005-12-31,7.784917867189987e-05
2006-01-31,0.01724743389972534
2006-02-28,0.0006943920811917801
2006-03-31,0.0098838112020026
2006-04-30,0.0075280049954919
2006-05-31,-0.00366204798417896
2006-06-30,0.00289363881466428
2006-07-31,0.0012004749170811805
2006-08-31,0.0015604800101504607
2006-09-30,0.00343885365746826
2006-10-31,0.010017560963033561
2006-11-30,0.0035006212020617595
2006-12-31,0.00789333627317406
2007-01-31,0.00259452405265404
2007-02-28,-0.0038436118777175803
2007-03-31,-0.0003205259223584198
2007-04-30,0.004112201798746641
2007-05-31,0.0062352462386479615
