date,MKT,SMB,HML,RMW,CMA
2000-01-31,0.5339007932686528,0.766099206731347,-0.0745439052518333,-0.008474475343956352,-0.21698161940421007
2000-02-29,0.07088952619200378,0.22295766119588534,-0.282700633798847,-0.01729936620115175,1.0061528126121104
2000-03-31,0.19284716327416562,0.2712762891217311,-0.30000000000000027,0.017071891458398863,0.8188046561457044
2000-04-30,0.6880144945745397,-0.14122090295890663,0.5351940664630765,0.07679143896238372,-0.1587790970410934
2000-05-31,-0.039555349098883204,0.025781510831879406,-0.2604446509011168,0.14275283694287,1.1314656522252506
2000-06-30,-0.29999999999999993,0.0780790527360102,0.4324367397811668,0.7894842074828228,6.373651022749933e-17
2000-07-31,0.7609711098258225,0.5390288901741778,-0.276100170595547,-0.02389982940445311,7.197662469293417e-18
2000-08-31,0.03081827885528335,0.2298333379473638,0.317782752637709,0.32424086812200226,0.09732476243764182
2000-09-30,0.48372493851317533,-0.01385465199869241,-0.06122538279154189,-0.2249199652097656,0.8162750614868246
2000-10-31,-0.06867452294694609,0.19769220534749832,-0.09655946747708787,0.15703613258612412,0.8105056524904117
2000-11-30,0.04193735067423651,-0.17683493950026555,-0.12316506049973447,0.37253378601763854,0.8855288633081249
2000-12-31,-0.20953767887933172,0.2738875796698188,-0.09046232112066835,0.08933061785396468,0.9367818024762169
2001-01-31,0.2405065659624219,0.2894210822069898,0.040429370021058536,0.03213553621541135,0.39750744559411827
2001-02-28,0.2511878501504526,0.9152848036750392,0.133527346174508,8.31678357502948e-17,-0.30000000000000016
2001-03-31,-0.2727715936507932,0.6424883336756336,-0.027228406349206667,0.2639316427342008,0.3935800235901654
2001-04-30,-0.29999999999999993,0.8140926807218025,0.10707593373250583,0.3788313855456917,-9.883176200226989e-18
2001-05-31,1.0862377309787679,-3.531650934017602e-18,0.1317995299421634,-0.3,0.08196273907906883
2001-06-30,0.18939331280674795,0.42750075901388274,0.24085211394101713,0.12475207451778705,0.017501739720565117
2001-07-31,-0.02330734403787159,0.4844144533859194,0.0,0.8155855466140808,-0.27669265596212855
2001-08-31,0.028116214277085758,-0.07245193422572363,0.48622895145475636,0.785654834268158,-0.22754806577427633
2001-09-30,0.0,0.37528628275082854,-0.29999999999999993,0.26992691223928056,0.6547868050098907
2001-10-31,-0.3,-4.265653623822132e-17,1.3676771574036905e-16,0.9876478891412085,0.3123521108587913
