,model,MKT,SMB,HML,RMW,CMA
2000-01-31,RW-DCC-SKT,0.30695452633956155,0.6930454736594196,3.4254045319816614e-13,3.576442736311752e-13,3.184310268946766e-13
2000-02-29,RW-DCC-SKT,1.7786298206321099e-12,0.33350310436681313,4.285967755033225e-12,6.9554883297426684e-12,0.6664968956201668
2000-03-31,RW-DCC-SKT,0.282015634497378,0.5447686677287711,9.189679893612473e-11,7.633765958028924e-11,0.1732156976056164
2000-04-30,RW-DCC-SKT,0.488766595807868,1.7786197958465715e-14,0.44614887019484545,0.06508453399726158,7.0282866307516396e-15
2000-05-31,RW-DCC-SKT,3.3847330852132427e-11,0.006519095598840538,1.4780489638367452e-11,0.04950129944490193,0.9439796049076298
2000-06-30,RW-DCC-SKT,4.5776463463139295e-17,0.07244508719624483,0.32396686269672315,0.6035880501070321,7.73098182941503e-17
2000-07-31,RW-DCC-SKT,0.4343922164667963,0.5656077835332035,1.0630646714102133e-16,1.0792343274219661e-16,8.894678521342421e-19
2000-08-31,RW-DCC-SKT,0.13567923766432025,0.21560667106195996,0.20191943539691035,0.22660235274806817,0.22019230312874125
2000-09-30,RW-DCC-SKT,0.35323856353188055,0.019216466051728578,2.070332199405425e-13,1.06557111799853e-12,0.6275449704151181
2000-10-31,RW-DCC-SKT,0.02427105006454887,0.2102635217977645,5.199026227518635e-08,0.12983583237003277,0.6356295437773916
2000-11-30,RW-DCC-SKT,0.15823671994260424,0.017594930564964594,0.0,0.2700960962445458,0.5540722532478853
2001-02-28,RW-DCC-SKT,0.15077914831906694,0.8492208516809225,5.280192335144329e-16,7.665411691418091e-15,2.2467318774076656e-15
2001-04-30,RW-DCC-SKT,2.6079636864933393e-15,0.5669663684844414,0.1760764788162034,0.18999845823537534,0.06695869446397752
2001-05-31,RW-DCC-SKT,0.7731587469552916,3.750588706795399e-16,0.02893057790151827,7.242687352637667e-17,0.19791067514318966
2001-06-30,RW-DCC-SKT,0.22190130005927927,0.34637901620049083,0.1857315064689603,0.14489036554550344,0.10109781172576618
2001-07-31,RW-DCC-SKT,0.06520998992659476,0.40123499935079654,5.750475623552377e-14,0.5335550107224846,6.664540440007787e-14
2001-08-31,RW-DCC-SKT,0.16503360826408456,0.0,0.2723000651035183,0.5626663266323971,3.9059304835636907e-17
2001-09-30,RW-DCC-SKT,0.0,0.3488133801228389,5.106893802337989e-14,0.10088923677956461,0.5502973830975454
2001-10-31,RW-DCC-SKT,6.874435943163754e-15,1.9979945822307138e-14,2.8368473505024993e-15,0.7568176246909243,0.2431823753090461
2001-11-30,RW-DCC-SKT,0.16483373338957047,0.8351662666103977,2.3753255676162577e-14,0.0,8.072836692270112e-15
2001-12-31,RW-DCC-SKT,0.3834349769986233,0.12004894085773125,0.49651608213603143,1.2538698631230357e-12,6.359974776694697e-12
2002-01-31,RW-DCC-SKT,0.1648953894320229,0.36904569359407596,0.17438916771802204,0.29166974925587874,3.7710680808284644e-16
2002-02-28,RW-DCC-SKT,0.16444112629940216,0.2421346469549083,3.3164934328011243e-18,0.45970332861122865,0.13372089813446086
2002-03-31,RW-DCC-SKT,0.23588824457320812,0.15782737382586215,1.2964060703146743e-15,0.21289968256923322,0.3933846990316952
2002-04-30,RW-DCC-SKT,0.27882578880381076,0.2511021836579731,0.16327981721360382,0.0,0.3067922103246123
2002-05-31,RW-DCC-SKT,8.485979502096346e-14,0.4090409996331247,0.08426538017857044,0.2046965059227793,0.30199711426544074
2002-06-30,RW-DCC-SKT,0.20312192786921435,8.257813915053081e-13,7.500626461487649e-13,0.34064047704515743,0.4562375950840523
2002-07-31,RW-DCC-SKT,1.8180754056887992e-14,0.44280101098732544,3.979623751127038e-15,0.5571989890126111,4.128575050838305e-14
2002-08-31,RW-DCC-SKT,0.0,0.0,0.0,1.0,0.0
2002-09-30,RW-DCC-SKT,0.1981071923820689,5.4963012818138196e-17,0.7286633021676368,0.07322950545029416,2.6856023643718927e-16
2002-10-31,RW-DCC-SKT,0.0,0.39926339862865096,0.0,0.6007366013713492,0.0
2002-11-30,RW-DCC-SKT,0.4198093261855112,0.0,0.0,0.0,0.5801906738144889
2002-12-31,RW-DCC-SKT,0.4198093261855112,0.0,0.0,0.0,0.5801906738144889
2003-01-31,RW-DCC-SKT,0.0,0.30901669677927873,0.29674755875686315,0.39423574446385784,2.2742914407820897e-16
2003-02-28,RW-DCC-SKT,1.325532923052408e-16,0.5258542389247858,0.0,6.3549915669134785e-18,0.47414576107521417
2003-03-31,RW-DCC-SKT,0.0,0.0,0.0,1.0,0.0
2003-04-30,RW-DCC-SKT,0.20843116302865558,0.20167987985007213,1.0247739655759961e-14,0.5898889571212621,6.000041779590459e-20
2003-07-31,RW-DCC-SKT,0.23697899725234053,0.3099711744606059,4.173003372666432e-18,0.4530498282870535,5.621104314586651e-19
2003-08-31,RW-DCC-SKT,0.15943157750061104,0.3725687281132297,8.922191957330562e-15,7.23058401096431e-15,0.46799969438614325
