date,return
2000-01-31,0.0445908833278752
2000-02-29,0.1694051648607278
2000-03-31,0.0815799869924228
2000-04-30,0.004391477091317309
2000-05-31,-0.015609937434465255
2000-06-30,0.0004090046115826936
2000-07-31,0.015819052232728295
2000-08-31,0.046605808158232
2000-09-30,-0.05593563233030329
2000-10-31,-0.028193734370781896
2000-11-30,-0.11316869810563789
2000-12-31,0.07278566972564761
2001-01-31,-0.000951430392753156
2001-02-28,-0.014260798399791864
2001-03-31,-0.03672699201427658
2001-04-30,0.02300271684538771
2001-05-31,0.008901706138901025
2001-06-30,-0.018251311883159885
2001-07-31,0.002010571300946496
2001-08-31,0.028198654358678684
2001-09-30,-0.030038838524437117
2001-10-31,-0.005102503989569913
2001-11-30,0.028729906777340112
2001-12-31,0.006364296318970087
2002-01-31,0.0070192208219170375
2002-02-28,0.012691676619073227
2002-03-31,0.024300902028176967
2002-04-30,0.010449170410322572
2002-05-31,-0.0136933271320025
2002-06-30,-0.02985663815041735
2002-07-31,-0.044677660822197304
2002-08-31,0.01834426920871224
2002-09-30,-0.06269767926751238
2002-10-31,0.03069023275149456
2002-11-30,0.009423077906561262
2002-12-31,-0.02272601748129887
2003-01-31,-0.01375493687656597
2003-02-28,-0.015369496686651683
2003-03-31,-0.0032230441041629252
2003-04-30,0.03472068083437625
2003-05-31,0.02298706042843216
2003-06-30,0.011100185738440228
2003-07-31,-0.009553256051402805
2003-08-31,0.011775534085125612
2003-09-30,-0.004877044593262956
2003-10-31,0.04282266918874403
2003-11-30,0.01572313542889597
2003-12-31,0.029716378879001873
2004-01-31,-0.0003187995455899322
2004-02-29,0.0003101425045386741
2004-03-31,0.0010854290604710676
2004-04-30,-0.007062214798579444
2004-05-31,0.0018682510728989172
2004-06-30,0.013408312211688622
2004-07-31,-0.01096283872046913
2004-08-31,-0.003893921966521515
2004-09-30,0.004024098616351291
2004-10-31,0.0040916179032535
2004-11-30,0.020129499466493547
2004-12-31,0.01279194581289253
2005-01-31,-0.015094547428167009
2005-02-28,0.011417043882827835
2005-03-31,-0.00998399471393916
2005-04-30,-0.0263439753396019
2005-05-31,0.01803044070401065
2005-06-30,-0.0021512192177977974
2005-07-31,0.008384752450833956
2005-08-31,0.0037927982386961987
2005-09-30,0.0004200497336350165
2005-10-31,-0.015113637810048104
2005-11-30,0.035463664275569
2005-12-31,-0.0007422969010706814
2006-01-31,0.029850021968885202
2006-02-28,0.006699325035368985
2006-03-31,0.0145930023029
2006-04-30,0.022348403663761708
2006-05-31,0.009924832125394665
2006-06-30,0.0017954152590604964
2006-07-31,0.008364916331627602
2006-08-31,-0.01969263334573599
2006-09-30,0.011613646016132627
2006-10-31,0.0316924467324897
2006-11-30,0.00570993890471648
2006-12-31,0.0084640784121293
2007-01-31,0.004500898942513274
2007-02-28,-0.018880401315558765
2007-03-31,0.007074913671961899
2007-04-30,0.0021916604589546007
2007-05-31,-0.008058972297459943
2007-06-30,-0.0197946273281794
2007-07-31,-0.0379095730732201
2007-08-31,-0.0018628372204669008
2007-09-30,0.03169244673248967
2007-10-31,0.0005998200719674987
2007-11-30,-0.03693238531107719
2007-12-31,-0.008738065943285191
2008-01-31,-0.06528546669862949
2008-02-29,-0.013295682771500974
2008-03-31,-0.008863263128520298
2008-04-30,0.02249972261841115
2008-05-31,0.011143497584984067
2008-06-30,-0.0464293634308286
2008-07-31,0.01492208872254007
2008-08-31,0.015090492031124563
2008-09-30,-0.0981642487872313
2008-10-31,-0.07389927270382705
2008-11-30,0.012707426147014634
2008-12-31,0.004271499640210693
2009-01-31,-0.02144388184848743
2009-02-28,-0.10691728234607752
2009-03-31,-0.016524854122524274
2009-04-30,0.019109420545438332
2009-05-31,0.021120648769211464
2009-06-30,-0.004779952672558827
2009-07-31,0.04164858273412571
2009-08-31,0.03209377686745699
2009-09-30,0.007022649957885867
2009-10-31,-0.02091082576539873
2009-11-30,-0.010007515443948817
2009-12-31,0.025708295394857323
2010-01-31,-0.010525397443418473
2010-02-28,0.016611235555903034
2010-03-31,0.03388325834451596
2010-04-30,0.025029379644810508
2010-05-31,-0.05944920542230311
2010-06-30,-0.04973130358689268
2010-07-31,0.0669107052826268
2010-08-31,-0.02205079523184045
2010-09-30,0.019467559267958685
2010-10-31,0.0379699312516286
2010-11-30,0.014575311680363034
2010-12-31,0.03426289828305684
2011-01-31,0.006789466446092142
2011-02-28,0.015810514129465627
2011-03-31,0.0045894523338072
2011-04-30,0.011137744410456
2011-05-31,-0.01440323031074368
2011-06-30,0.0005998200719675177
2011-07-31,-0.0174513936137558
2011-08-31,-0.060039657733203466
2011-09-30,-0.0355235560690467
2011-10-31,0.1074183967672702
2011-11-30,0.012245695257998556
2011-12-31,0.0103245156828831
2012-01-31,-0.0093435150031524
2012-02-29,0.004191204618468
2012-03-31,0.0306261935417607
2012-04-30,-0.008435478821101502
2012-05-31,-0.010754407919429125
2012-06-30,0.005050972691305472
2012-07-31,0.0013679364427953917
2012-08-31,-0.006151091288717564
2012-09-30,0.010558094598234355
2012-10-31,0.006281436131915157
2012-11-30,0.007818917526590814
2012-12-31,0.00754145740466996
2013-01-31,0.03129588774006425
2013-02-28,0.007297058827839773
2013-03-31,0.011810359969917784
2013-04-30,0.0053169755505003535
2013-05-31,-0.0059658958199301625
2013-06-30,-0.007293844249507162
2013-07-31,0.02471169460323757
2013-08-31,-0.0219389075187539
2013-09-30,-0.0009697105798521146
2013-10-31,0.0088606284321964
2013-11-30,0.0025668354009913
2013-12-31,0.018475010813406665
2014-01-31,-0.020100671707002908
2014-02-28,0.005782077913617651
2014-03-31,0.0190180058357619
2014-04-30,0.009257021262676806
2014-05-31,0.010860166310369956
2014-06-30,0.01326926748615223
2014-07-31,-0.008936671330148992
2014-08-31,0.018126808597263663
2014-09-30,-0.019794627328179402
2014-10-31,0.02060372427061548
2014-11-30,0.013398420356670515
2014-12-31,0.0089597413714718
2015-01-31,-0.007069782475521328
2015-02-28,0.05854017263193883
2015-03-31,-0.0064139107307918785
2015-04-30,0.017839918128331
2015-05-31,0.00048559227090657253
2015-06-30,-0.0082338049271035
2015-07-31,-0.02484568115811499
2015-08-31,0.0128175037106143
2015-09-30,-0.014543790225189656
2015-10-31,0.04061963586896691
2015-11-30,-0.005954276509182436
2015-12-31,-0.0042467024518828295
2016-01-31,0.011591619774175324
2016-02-29,0.013907111715385383
2016-03-31,0.026511178706981078
2016-04-30,-0.004394976109431553
2016-05-31,-0.01211415639266385
2016-06-30,0.013215169296756937
2016-07-31,0.030074189870652367
2016-08-31,-0.0024315019751771205
2016-09-30,-0.0004992438096846195
2016-10-31,-0.015577403973180153
2016-11-30,0.04390797435002169
2016-12-31,0.017938145131012898
2017-01-31,0.007011603808681668
2017-02-28,-0.0031545656744356824
2017-03-31,0.0019635541340299965
2017-04-30,0.0019505978566100842
2017-05-31,0.010643160098479697
2017-06-30,0.0038043580815502226
2017-07-31,0.0186254641231648
