,model,portfolio_return,portfolio_cvar
2000-01-31,RW-DCC-SKT,0.019505886849222158,0.06437475277282681
2000-02-29,RW-DCC-SKT,0.06484389660527087,-0.0012067339380328573
2000-03-31,RW-DCC-SKT,-0.061837688447835486,0.029137767086207772
2000-04-30,RW-DCC-SKT,-0.004630445149023997,0.05127819958559772
2000-05-31,RW-DCC-SKT,0.0130566884693346,0.020010125139690832
2000-06-30,RW-DCC-SKT,-0.108754062740822,0.10692471874806135
2000-07-31,RW-DCC-SKT,-0.04336949468902593,0.160687451754555
2000-08-31,RW-DCC-SKT,-0.002892577706641449,0.03214764301682995
2000-09-30,RW-DCC-SKT,0.01967865795490856,0.016795747385520417
2000-10-31,RW-DCC-SKT,0.040489211762963065,0.017964607897021943
2000-11-30,RW-DCC-SKT,0.07422565456865454,0.04761151433905506
2000-12-31,RW-DCC-SKT,0.046826248329631205,0.003619022284929146
2001-01-31,RW-DCC-SKT,-0.0024874042364508124,0.003978883752315362
2001-02-28,RW-DCC-SKT,0.006891307668511891,0.07545454205661309
2001-03-31,RW-DCC-SKT,0.06230487078611098,0.022914017615582507
2001-04-30,RW-DCC-SKT,-0.0482338169400988,0.057317971723636466
2001-05-31,RW-DCC-SKT,0.014125075768053469,0.07560441561843831
2001-06-30,RW-DCC-SKT,0.016260317554315673,0.018787484730113282
2001-07-31,RW-DCC-SKT,0.03753969869952637,0.028148352402591677
2001-08-31,RW-DCC-SKT,0.025885599785612716,0.05109779322613014
2001-09-30,RW-DCC-SKT,0.0028328108081347794,0.017075771317325864
2001-10-31,RW-DCC-SKT,-0.05036210726213098,0.09676692771150738
2001-11-30,RW-DCC-SKT,-0.012326735085289819,0.0666602178891605
2001-12-31,RW-DCC-SKT,0.014786389730712429,0.033300024898802925
2002-01-31,RW-DCC-SKT,0.02209226531700627,0.025089751714360536
2002-02-28,RW-DCC-SKT,0.04576152311136169,0.02480442929433384
2002-03-31,RW-DCC-SKT,0.01363213485920926,0.020922283347367763
2002-04-30,RW-DCC-SKT,0.021824501356589195,0.017231537855646108
2002-05-31,RW-DCC-SKT,0.0018511626036131577,0.02868441563603147
2002-06-30,RW-DCC-SKT,0.0029213539026442976,0.07470297970966368
2002-07-31,RW-DCC-SKT,0.010669344479965471,0.04475288685700117
2002-08-31,RW-DCC-SKT,0.009669461593887882,0.062400699079526056
2002-09-30,RW-DCC-SKT,0.01284979208678505,0.03431498880973547
2002-10-31,RW-DCC-SKT,-0.060198753063838914,0.024902887640474363
2002-11-30,RW-DCC-SKT,0.06808258929291487,0.03441512066238508
2003-01-31,RW-DCC-SKT,-0.007275085706152181,0.04598549596232582
2003-02-28,RW-DCC-SKT,-0.005749691573330165,0.07191067291011388
2003-03-31,RW-DCC-SKT,0.02795500234844273,0.07035377293064039
2003-04-30,RW-DCC-SKT,-0.017205624272720044,0.019011498487174268
2003-05-31,RW-DCC-SKT,0.03181409060732759,0.009408586955254492
2003-06-30,RW-DCC-SKT,0.003906772086314108,0.007885639771464992
2003-07-31,RW-DCC-SKT,-0.0009071338018772248,0.033257700267349595
2003-08-31,RW-DCC-SKT,0.02401461207820082,0.026617843710608262
2003-09-30,RW-DCC-SKT,-0.0009196258014009925,0.010226803266009027
2003-10-31,RW-DCC-SKT,-0.004207656660729871,0.05086564985699967
2003-11-30,RW-DCC-SKT,0.01857663231868782,0.00885402725695937
2003-12-31,RW-DCC-SKT,0.007381799166398022,0.0153335280346196
2004-01-31,RW-DCC-SKT,0.0124716693793427,0.02923423362024167
2004-02-29,RW-DCC-SKT,-0.007193465719820868,0.008140559080526738
2004-03-31,RW-DCC-SKT,0.009710669049730251,0.02280466439333918
2004-04-30,RW-DCC-SKT,-0.002225083715974973,0.02391466175207791
2004-05-31,RW-DCC-SKT,-0.00662975501609547,0.050833628528023166
2004-06-30,RW-DCC-SKT,0.005106592202432467,0.0580997809627139
2004-07-31,RW-DCC-SKT,0.007373820553019534,0.00731229912721023
2004-08-31,RW-DCC-SKT,0.018765737319092285,0.0069399201191695644
2004-09-30,RW-DCC-SKT,0.0055789825246691585,0.02303681559510066
2004-10-31,RW-DCC-SKT,-0.0002999178758588913,0.003579266437551256
2004-11-30,RW-DCC-SKT,0.0065165742619744185,0.02298357332501716
2004-12-31,RW-DCC-SKT,0.001016492857281928,-2.36322694316633e-05
2005-01-31,RW-DCC-SKT,-0.01672465014606178,0.013661554463180087
2005-02-28,RW-DCC-SKT,0.018340819044723844,0.017200449140526246
2005-03-31,RW-DCC-SKT,-0.002389278652971394,0.006754894961906989
2005-04-30,RW-DCC-SKT,-0.0002503671417988223,0.010411876420700843
2005-05-31,RW-DCC-SKT,-0.02117652868739295,0.053014471448798194
2005-06-30,RW-DCC-SKT,0.00033159264088589505,0.01985074322530268
2005-07-31,RW-DCC-SKT,0.0070642353828850955,0.002235060182425889
2005-08-31,RW-DCC-SKT,-0.01946281286647086,0.01762023903517139
2005-09-30,RW-DCC-SKT,0.0006008253779940199,0.012910764327931763
2005-10-31,RW-DCC-SKT,0.00038457374656534723,0.018679494548073643
2005-11-30,RW-DCC-SKT,-0.026201882598327054,0.04290520142078458
2005-12-31,RW-DCC-SKT,-0.002303565950675425,0.03525596432010229
2006-01-31,RW-DCC-SKT,0.021805874424285214,0.1036965192060973
2006-02-28,RW-DCC-SKT,-0.011875755228319594,0.0002840374786279522
2006-03-31,RW-DCC-SKT,-0.007774939364338325,0.00402833954915676
2006-04-30,RW-DCC-SKT,0.007128368427006056,0.015616518699622293
2006-05-31,RW-DCC-SKT,0.008027611051959977,-0.00023569491764081584
2006-06-30,RW-DCC-SKT,0.00433300435850929,-0.0008986431746202386
2006-07-31,RW-DCC-SKT,0.017730999245099067,0.01687163243231577
2006-08-31,RW-DCC-SKT,0.006581580735094048,0.108763429484109
2006-10-31,RW-DCC-SKT,0.006945129653177982,0.0024554450050258544
2006-11-30,RW-DCC-SKT,0.004446601230072253,0.00562268229352227
2006-12-31,RW-DCC-SKT,-0.004319978455576495,0.01923927893516131
2007-01-31,RW-DCC-SKT,0.0009818147033853729,-0.0007897276030459868
2007-02-28,RW-DCC-SKT,-0.011834176103580833,0.006527388610930727
2007-03-31,RW-DCC-SKT,-0.0024952234855456007,0.032314895839409816
2007-04-30,RW-DCC-SKT,0.02361777675526905,0.011834764612591725
2007-05-31,RW-DCC-SKT,0.004017345376213794,-4.5385606170819506e-05
2007-07-31,RW-DCC-SKT,0.0025073269981832737,0.005011714492500081
2007-08-31,RW-DCC-SKT,-0.013035744501309184,0.015312179352177607
2007-09-30,RW-DCC-SKT,0.047781853007862765,0.07262756913060762
2007-10-31,RW-DCC-SKT,0.007856020506103801,0.013306055600429505
2007-11-30,RW-DCC-SKT,0.0009310717411979974,0.009634360037238863
2007-12-31,RW-DCC-SKT,0.013698478902485735,-5.5478104986082395e-05
2008-01-31,RW-DCC-SKT,0.012961877596900156,0.013906538043846678
2008-02-29,RW-DCC-SKT,-0.0018788042932241056,-0.00018857233293372515
2008-03-31,RW-DCC-SKT,0.011462474503449456,0.011060732014360076
2008-04-30,RW-DCC-SKT,0.002299472489093601,0.009752109165831533
2008-05-31,RW-DCC-SKT,0.016386494224897893,-6.820718783344736e-05
2008-06-30,RW-DCC-SKT,0.037073662119338296,0.000783275404526381
2008-09-30,RW-DCC-SKT,0.010559336631719407,0.0064905254297632385
2008-10-31,RW-DCC-SKT,-0.001240493008466376,-0.0016951814217854898
2008-11-30,RW-DCC-SKT,0.056935159682499306,0.0018424482180639616
2008-12-31,RW-DCC-SKT,-0.01751676929940681,-0.005931589709103499
2009-01-31,RW-DCC-SKT,-0.010038652402342309,0.01599148841191619
2009-02-28,RW-DCC-SKT,0.023254628315274063,0.03223048736858152
2009-03-31,RW-DCC-SKT,-0.039743915575851524,0.030946610393576036
2009-04-30,RW-DCC-SKT,0.08869863235273462,0.12150583262016151
2009-05-31,RW-DCC-SKT,-0.021647153851862964,-0.0027775094361971817
2009-06-30,RW-DCC-SKT,-0.02269980096719365,0.07636754907891294
2009-07-31,RW-DCC-SKT,0.013511262900845838,0.04371992399487438
2009-08-31,RW-DCC-SKT,0.024314204798897617,0.0017290814625718505
