date,return
2000-01-31,0.028850574853736263
2000-02-29,0.06500353836823236
2000-03-31,-0.011440893535093444
2000-04-30,0.00314015403738261
2000-05-31,0.007609786551234171
2000-06-30,-0.03080642120875335
2000-07-31,-0.008652192999809325
2000-08-31,0.07952331626392634
2000-09-30,0.007287404636363265
2000-10-31,-0.003372001745232729
2000-11-30,-0.005502757886246625
2000-12-31,0.04782643328066494
2001-01-31,0.008633369652578354
2001-02-28,0.0014521808041125517
2001-03-31,0.0019083295544900314
2001-04-30,0.008310673994924215
2001-05-31,0.0272902823718811
2001-06-30,0.02753736184773436
2001-07-31,0.01354643570865648
2001-08-31,-0.008334573270479751
2001-09-30,-0.0351308354515287
2001-10-31,-0.06213110815289941
2001-11-30,-0.032119829602483906
2001-12-31,0.03164419311106524
2002-01-31,0.018094850155054035
2002-02-28,0.002372044855570743
2002-03-31,0.019836206539928503
2002-04-30,0.033458565641737305
2002-05-31,0.0011360559304531117
2002-06-30,-0.008534743188129183
2002-07-31,-0.066240907110419
2002-08-31,-0.019553685565709772
2002-09-30,0.01911446331592323
2002-10-31,-0.05469648661146963
2002-11-30,-0.05750618842185192
2002-12-31,-0.025041394085567784
2003-01-31,-0.009284257283207925
2003-02-28,-0.008446470307601118
2003-03-31,0.013456174610470745
2003-04-30,-0.08589759002137173
2003-05-31,0.022139735611092677
2003-06-30,0.005053988723989083
2003-07-31,-0.00906232444650368
2003-08-31,0.008402298095318088
2003-09-30,0.0012769849925044969
2003-10-31,0.023193406309327404
2003-11-30,0.017853943457427232
2003-12-31,0.0031568526631180617
2004-01-31,-0.004515183064066141
2004-02-29,-0.0025104733829081098
2004-03-31,0.0074424931011776605
2004-04-30,0.005440690413304661
2004-05-31,0.002913393188765064
2004-06-30,0.0053412338249627135
2004-07-31,-0.009364958308288693
2004-08-31,0.017841024802886178
2004-09-30,0.010041689977420859
2004-10-31,-0.0017676364690365717
2004-11-30,0.012146416266024893
2004-12-31,0.003424673112699648
2005-01-31,0.009590998227509098
2005-02-28,0.01883263795411871
2005-03-31,0.015639462364076286
2005-04-30,0.0056001980234106855
2005-05-31,0.00832629382146528
2005-06-30,0.00018461190912456827
2005-07-31,0.009211249365293713
2005-08-31,-0.008656022106118719
2005-09-30,0.011202697166020069
2005-10-31,-0.011552412896488819
2005-11-30,0.01960047163303342
2005-12-31,-0.000703345345536223
2006-01-31,0.07471484305159075
2006-02-28,-0.010773766641263774
2006-03-31,-0.0055115602306178325
2006-04-30,0.011171579270233128
2006-05-31,-0.006180786336244058
2006-06-30,0.0056921140853588076
2006-07-31,-0.007402353396870531
2006-08-31,-0.026947394931312405
2006-09-30,0.0024197883441565687
2006-10-31,0.0047974046102485235
2006-11-30,0.011773349139215806
2006-12-31,0.006297383079114472
2007-01-31,0.004070128804950228
2007-02-28,-0.020165796238295605
2007-03-31,-0.00030374691376895197
2007-04-30,0.041581444043686994
2007-05-31,0.02722452225991878
2007-06-30,-0.025912961548223465
2007-07-31,-0.029581571208425264
2007-08-31,-0.010952617943247147
2007-09-30,-0.009746798247855609
2007-10-31,0.004438875460903594
2007-11-30,-0.0015732948484606898
2007-12-31,0.005694886962325912
2008-01-31,-0.02106391742021367
2008-02-29,0.0002632347637512248
2008-03-31,0.007303791389032024
2008-04-30,-0.027788354781741156
2008-05-31,0.019962774017463727
2008-06-30,0.04071148949869523
2008-07-31,0.043509150873528434
2008-08-31,0.024487278902591513
2008-09-30,0.036530533714619354
2008-10-31,-0.010814911523965675
2008-11-30,0.04872910539245951
2008-12-31,-0.01981354783366247
2009-01-31,0.006850259378462235
2009-02-28,0.024102432304891824
2009-03-31,-0.04917215470482708
2009-04-30,0.059504811737624744
2009-05-31,-0.01865720856450656
2009-06-30,-0.024207210765780723
2009-07-31,0.008476500527163117
2009-08-31,0.01301587327530097
2009-09-30,0.009677419752870545
2009-10-31,-0.013917995672079903
2009-11-30,0.043967562025374315
2009-12-31,-0.0024769741797587897
2010-01-31,0.00013087526478485802
2010-02-28,0.03382571709787671
2010-03-31,0.027681740710046223
2010-04-30,0.013392671947372191
2010-05-31,-0.007531088106034583
2010-06-30,-0.003927927059937157
2010-07-31,0.012549419589651556
2010-08-31,-0.011523745907300134
2010-09-30,-0.02983561349320091
2010-10-31,0.02015878397023173
2010-11-30,0.021953680216010525
2010-12-31,0.003938496125756377
2011-01-31,0.007073954904411192
2011-02-28,0.0007323719764110335
2011-03-31,0.009905679623523985
2011-04-30,0.007434465507787302
2011-05-31,0.0090427795059538
